lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
37.93,-75.47,54.83,15.87,4.42789e-05,2011-03-14 19:52:00,2011-03-14 19:49:32.863000,2011-03-14 19:50:33.500728,60.64,22_wal
37.1,-77.95,52.78,15.87,4.42789e-05,2011-03-14 19:52:00,2011-03-14 19:49:32.863000,2011-03-14 19:50:39.009999,66.15,22_bks
38.86,-99.39,43.92,14.87,4.42789e-05,2011-03-14 19:52:00,2011-03-14 19:49:32.863000,2011-03-14 19:49:49.294321,16.43,22_fhe
38.86,-99.39,43.92,14.87,4.42789e-05,2011-03-14 19:52:00,2011-03-14 19:49:32.863000,2011-03-14 19:49:50.541368,17.68,22_fhw
43.27,-120.36,45.88,12.87,4.42789e-05,2011-03-14 19:52:00,2011-03-14 19:49:32.863000,2011-03-14 19:49:59.741193,26.88,22_cve
43.27,-120.36,45.88,12.87,4.42789e-05,2011-03-14 19:52:00,2011-03-14 19:49:32.863000,2011-03-14 19:49:58.906811,26.04,22_cvw
49.39,-82.32,59.25,15.87,4.42789e-05,2011-03-14 19:52:00,2011-03-14 19:49:32.863000,2011-03-14 19:50:21.288785,48.43,22_kap
52.16,-106.53,55.11,13.87,4.42789e-05,2011-03-14 19:52:00,2011-03-14 19:49:32.863000,2011-03-14 19:50:45.569664,72.71,22_sas
53.98,-122.59,56.68,12.87,4.42789e-05,2011-03-14 19:52:00,2011-03-14 19:49:32.863000,2011-03-14 19:50:45.348635,72.49,22_pgr
38.86,-99.39,62.42,12.27,4.1655699999999995e-05,2011-12-25 18:16:00,2011-12-25 18:14:28.773000,2011-12-25 18:15:28.410041,59.64,24_fhe
49.39,-82.32,73.46,13.27,4.16557e-05,2011-12-25 18:16:00,2011-12-25 18:14:28.773000,2011-12-25 18:16:05.473809,96.7,24_kap
52.16,-106.53,76.28,12.27,4.1655699999999995e-05,2011-12-25 18:16:00,2011-12-25 18:14:28.773000,2011-12-25 18:15:31.562166,62.79,24_sas
37.93,-75.47,115.18,20.83,3.95361e-05,2011-10-02 00:50:00,2011-10-02 00:43:18.133000,2011-10-02 00:45:49.684103,151.55,25_wal
53.32,-60.46,117.78,21.83,3.95361e-05,2011-10-02 00:50:00,2011-10-02 00:43:18.133000,2011-10-02 00:45:11.000620,112.87,25_gbr
37.93,-75.47,59.82,15.2,3.73116e-05,2011-03-07 20:12:00,2011-03-07 19:48:13.463000,2011-03-07 19:52:48.727803,275.26,26_wal
37.1,-77.95,57.75,15.2,3.73116e-05,2011-03-07 20:12:00,2011-03-07 19:48:13.463000,2011-03-07 19:52:36.789945,263.33,26_bks
49.39,-82.32,63.67,15.2,3.73116e-05,2011-03-07 20:12:00,2011-03-07 19:48:13.463000,2011-03-07 19:55:45.984657,452.52,26_kap
52.16,-106.53,58.48,14.2,3.73116e-05,2011-03-07 20:12:00,2011-03-07 19:48:13.463000,2011-03-07 19:55:48.519850,455.06,26_sas
53.98,-122.59,59.16,12.2,3.73116e-05,2011-03-07 20:12:00,2011-03-07 19:48:13.463000,2011-03-07 19:55:57.466837,464.0,26_pgr
37.93,-75.47,43.03,11.55,3.8214000000000004e-05,2011-09-25 15:33:00,2011-09-25 15:21:01.713000,2011-09-25 15:31:25.271916,623.56,27_wal
38.86,-99.39,56.63,10.55,3.8214e-05,2011-09-25 15:33:00,2011-09-25 15:21:01.713000,2011-09-25 15:31:26.864182,625.15,27_fhe
38.86,-99.39,56.63,10.55,3.8214000000000004e-05,2011-09-25 15:33:00,2011-09-25 15:21:01.713000,2011-09-25 15:31:34.864117,633.15,27_fhw
53.32,-60.46,54.35,12.55,3.8214e-05,2011-09-25 15:33:00,2011-09-25 15:21:01.713000,2011-09-25 15:30:27.001210,565.29,27_gbr
49.39,-82.32,55.36,11.55,3.8214000000000004e-05,2011-09-25 15:33:00,2011-09-25 15:21:01.713000,2011-09-25 15:31:27.008588,625.3,27_kap
52.16,-106.53,68.12,9.55,3.8214e-05,2011-09-25 15:33:00,2011-09-25 15:21:01.713000,2011-09-25 15:30:45.601729,583.89,27_sas
37.93,-75.47,25.81,14.17,3.53337e-05,2011-08-08 18:10:00,2011-08-08 18:04:34.730000,2011-08-08 18:04:51.000319,16.27,30_wal
38.86,-99.39,23.91,13.17,3.53337e-05,2011-08-08 18:10:00,2011-08-08 18:04:34.730000,2011-08-08 18:05:06.247675,31.52,30_fhe
38.86,-99.39,23.91,13.17,3.53337e-05,2011-08-08 18:10:00,2011-08-08 18:04:34.730000,2011-08-08 18:05:29.448537,54.72,30_fhw
43.27,-120.36,36.85,11.17,3.53337e-05,2011-08-08 18:10:00,2011-08-08 18:04:34.730000,2011-08-08 18:06:26.668897,111.94,30_cve
43.27,-120.36,36.85,11.17,3.53337e-05,2011-08-08 18:10:00,2011-08-08 18:04:34.730000,2011-08-08 18:05:34.876474,60.15,30_cvw
52.16,-106.53,38.09,12.17,3.53337e-05,2011-08-08 18:10:00,2011-08-08 18:04:34.730000,2011-08-08 18:04:51.001618,16.27,30_sas
53.98,-122.59,45.09,11.17,3.53337e-05,2011-08-08 18:10:00,2011-08-08 18:04:34.730000,2011-08-08 18:05:54.001012,79.27,30_pgr
49.39,-82.32,81.74,7.75,3.28468e-05,2011-09-04 11:45:00,2011-09-04 11:39:01.860000,2011-09-04 11:41:59.007871,177.15,31_kap
