lat,lon,sza,lt,fmax,event,t_fdmax,t_rdmax,dt,pk
60.02,-111.95,113.04,21.15,0.00011417299999999999,2012-03-05 04:09:00,2012-03-05 03:29:00.187000,2012-03-05 03:52:58,1437.81,55_fsmi
56.38,-94.64,60.97,18.13,0.000113963,2012-07-06 23:08:00,2012-07-06 23:04:07.010000,2012-07-06 23:05:52,104.99,56_gill
64.05,-139.11,45.06,16.13,0.00011396299999999999,2012-07-06 23:08:00,2012-07-06 23:04:07.010000,2012-07-06 23:05:57,109.99,56_daws
61.76,-121.23,49.48,17.13,0.000113963,2012-07-06 23:08:00,2012-07-06 23:04:07.010000,2012-07-06 23:06:02,114.99,56_fsim
60.02,-111.95,52.77,17.13,0.00011396299999999999,2012-07-06 23:08:00,2012-07-06 23:04:07.010000,2012-07-06 23:06:02,114.99,56_fsmi
53.86,-94.66,60.88,18.13,0.000113963,2012-07-06 23:08:00,2012-07-06 23:04:07.010000,2012-07-06 23:06:02,114.99,56_isll
56.66,-111.21,52.04,17.13,0.00011396299999999999,2012-07-06 23:08:00,2012-07-06 23:04:07.010000,2012-07-06 23:06:02,114.99,56_mcmu
69.54,-93.55,77.64,19.18,0.000324641,2013-05-14 01:11:00,2013-05-14 01:00:52.703000,2013-05-14 01:07:07,374.3,101_talo
56.38,-94.64,81.92,20.18,0.00032464099999999997,2013-05-14 01:11:00,2013-05-14 01:00:52.703000,2013-05-14 01:04:52,239.3,101_gill
64.05,-139.11,60.15,18.18,0.000324641,2013-05-14 01:11:00,2013-05-14 01:00:52.703000,2013-05-14 01:01:17,24.3,101_daws
61.76,-121.23,67.7,19.18,0.00032464099999999997,2013-05-14 01:11:00,2013-05-14 01:00:52.703000,2013-05-14 01:06:37,344.3,101_fsim
60.02,-111.95,72.27,19.18,0.000324641,2013-05-14 01:11:00,2013-05-14 01:00:52.703000,2013-05-14 01:07:02,369.3,101_fsmi
56.66,-111.21,73.1,19.18,0.00032464099999999997,2013-05-14 01:11:00,2013-05-14 01:00:52.703000,2013-05-14 01:06:52,359.3,101_mcmu
69.54,-93.55,54.48,10.08,0.000288461,2013-05-13 16:05:00,2013-05-13 15:51:40.643000,2013-05-13 15:55:45,244.36,102_talo
50.02,-96.04,41.45,11.08,0.000288461,2013-05-13 16:05:00,2013-05-13 15:51:40.643000,2013-05-13 16:00:00,499.36,102_pina
