lat,lon,sza,lt,fmax,event,dt,pk
56.38,-94.64,86.62,7.03,0.000941922,2017-09-06 12:02:00,-106,250_gill
69.54,-93.55,67.97,10.1,0.000830109,2017-09-10 16:06:00,360,251_talo
62.82,-92.11,62.08,11.1,0.000830109,2017-09-10 16:06:00,360,251_rank
50.02,-96.04,53.45,11.1,0.000830109,2017-09-10 16:06:00,360,251_pina
56.38,-94.64,57.68,11.1,0.000830109,2017-09-10 16:06:00,-294,251_gill
58.22,-103.68,62.37,10.1,0.000830109,2017-09-10 16:06:00,-206,251_rabb
62.82,-92.11,102.64,4.17,0.0,2017-09-06 09:10:00,360,252_rank
56.38,-94.64,108.01,4.17,0.0,2017-09-06 09:10:00,360,252_gill
62.82,-92.11,68.44,9.6,0.000139985,2017-09-07 14:36:00,360,253_rank
50.02,-96.04,64.45,9.6,0.000139985,2017-09-07 14:36:00,50,253_pina
56.38,-94.64,66.39,9.6,0.000139985,2017-09-07 14:36:00,-172,253_gill
