date,Cls,start_time,max_time,end_time
2014-01-07,X1.2,2014-01-07 18:04,2014-01-07 18:32,2014-01-07 18:58
2014-10-19,X1.1,2014-10-19 04:17,2014-10-19 05:03,2014-10-19 05:48
2014-03-29,X1,2014-03-29 17:35,2014-03-29 17:48,2014-03-29 17:54
2014-06-11,X1,2014-06-11 08:59,2014-06-11 09:06,2014-06-11 09:10
2014-10-25,X1,2014-10-25 16:55,2014-10-25 17:08,2014-10-25 18:11
2014-01-01,M9.9,2014-01-01 18:40,2014-01-01 18:52,2014-01-01 19:03
2014-03-12,M9.3,2014-03-12 22:28,2014-03-12 22:34,2014-03-12 22:39
2014-10-22,M8.7,2014-10-22 01:16,2014-10-22 01:59,2014-10-22 02:28
2014-12-17,M8.7,2014-12-17 04:25,2014-12-17 04:51,2014-12-17 05:20
2014-11-05,M7.9,2014-11-05 09:26,2014-11-05 09:47,2014-11-05 09:55
2014-04-18,M7.3,2014-04-18 12:31,2014-04-18 13:03,2014-04-18 13:20
2014-10-02,M7.3,2014-10-02 18:49,2014-10-02 19:01,2014-10-02 19:14
2014-01-07,M7.2,2014-01-07 10:07,2014-01-07 10:13,2014-01-07 10:37
2014-10-27,M7.1,2014-10-27 00:06,2014-10-27 00:34,2014-10-27 00:44
2014-12-18,M6.9,2014-12-18 21:41,2014-12-18 21:58,2014-12-18 22:25
2014-10-27,M6.7,2014-10-27 09:59,2014-10-27 10:09,2014-10-27 10:26
2014-01-30,M6.6,2014-01-30 15:48,2014-01-30 16:11,2014-01-30 16:28
2014-10-28,M6.6,2014-10-28 03:23,2014-10-28 03:32,2014-10-28 03:41
2014-04-02,M6.5,2014-04-02 13:18,2014-04-02 14:05,2014-04-02 14:28
2014-07-08,M6.5,2014-07-08 16:06,2014-07-08 16:20,2014-07-08 16:30
2014-11-03,M6.5,2014-11-03 22:15,2014-11-03 22:40,2014-11-03 22:53
2014-12-04,M6.1,2014-12-04 18:05,2014-12-04 18:25,2014-12-04 18:56
2014-08-24,M5.9,2014-08-24 12:00,2014-08-24 12:17,2014-08-24 12:25
2014-11-16,M5.7,2014-11-16 17:35,2014-11-16 17:48,2014-11-16 17:57
2014-11-06,M5.4,2014-11-06 03:32,2014-11-06 03:46,2014-11-06 04:02
2014-05-08,M5.3,2014-05-08 09:59,2014-05-08 10:07,2014-05-08 10:18
2014-02-04,M5.2,2014-02-04 03:57,2014-02-04 04:00,2014-02-04 04:06
2014-09-28,M5.1,2014-09-28 02:39,2014-09-28 02:58,2014-09-28 03:19
2014-01-27,M4.9,2014-01-27 22:05,2014-01-27 22:10,2014-01-27 22:15
2014-01-28,M4.9,2014-01-28 19:00,2014-01-28 19:40,2014-01-28 19:46
2014-09-08,M4.5,2014-09-08 23:12,2014-09-08 00:29,2014-09-08 01:31
2014-10-20,M4.5,2014-10-20 16:00,2014-10-20 16:37,2014-10-20 16:55
2014-02-02,M4.4,2014-02-02 09:24,2014-02-02 09:31,2014-02-02 09:36
2014-10-16,M4.3,2014-10-16 12:58,2014-10-16 13:03,2014-10-16 13:05
2014-10-26,M4.2,2014-10-26 18:07,2014-10-26 18:15,2014-10-26 18:20
2014-01-04,M4,2014-01-04 19:05,2014-01-04 19:46,2014-01-04 20:23
